operation_id,visit_id,operation_type,aircraft_category,start_time,end_time,pax,stand_id,stand_type,walking_distance,is_contact
V_M02688_M02695_TURN,V_M02688_M02695,turnaround,C,2026-03-14 18:40:00,2026-03-14 19:20:00,348,108,contato,125.0,1
V_M02693_M02705_TURN,V_M02693_M02705,turnaround,C,2026-03-14 19:10:00,2026-03-14 19:55:00,440,109,contato,130.0,1
V_M02692_M02736_TURN,V_M02692_M02736,turnaround,C,2026-03-14 19:10:00,2026-03-14 21:50:00,140,130,contato,300.0,1
V_M02685_M02730_PARK,V_M02685_M02730,parking,C,2026-03-14 19:10:00,2026-03-14 20:50:00,0,229,estacionamento,785.0,0
V_M02694_M02723_TURN,V_M02694_M02723,turnaround,C,2026-03-14 19:15:00,2026-03-14 21:00:00,348,111,contato,140.0,1
V_M02696_M02733_TURN,V_M02696_M02733,turnaround,C,2026-03-14 19:30:00,2026-03-14 21:45:00,272,119,contato,245.0,1
V_M02698_M02735_TURN,V_M02698_M02735,turnaround,C,2026-03-14 19:35:00,2026-03-14 21:50:00,272,118,contato,240.0,1
V_M02702_M02715_TURN,V_M02702_M02715,turnaround,C,2026-03-14 19:45:00,2026-03-14 20:30:00,440,107,contato,120.0,1
V_M02701_M02740_TURN,V_M02701_M02740,turnaround,C,2026-03-14 19:45:00,2026-03-14 22:00:00,272,115,contato,160.0,1
V_M02704_M02732_TURN,V_M02704_M02732,turnaround,C,2026-03-14 19:55:00,2026-03-14 21:45:00,348,108,contato,125.0,1
V_M02706_M02743_TURN,V_M02706_M02743,turnaround,C,2026-03-14 20:00:00,2026-03-14 22:15:00,272,122,contato,260.0,1
V_M02708_M02739_TURN,V_M02708_M02739,turnaround,C,2026-03-14 20:15:00,2026-03-14 22:00:00,348,109,contato,130.0,1
V_M02709_M02744_TURN,V_M02709_M02744,turnaround,C,2026-03-14 20:15:00,2026-03-14 22:20:00,272,124,contato,270.0,1
V_M02710_M02745_TURN,V_M02710_M02745,turnaround,C,2026-03-14 20:20:00,2026-03-14 22:30:00,272,121,contato,255.0,1
V_M02712_M02752_TURN,V_M02712_M02752,turnaround,C,2026-03-14 20:25:00,2026-03-14 23:20:00,272,116,contato,230.0,1
V_M02716_M02747_TURN,V_M02716_M02747,turnaround,C,2026-03-14 20:35:00,2026-03-14 22:40:00,348,112,contato,145.0,1
V_M02717_M02754_TURN,V_M02717_M02754,turnaround,C,2026-03-14 20:35:00,2026-03-14 23:30:00,272,127,contato,285.0,1
V_M02718_M02750_TURN,V_M02718_M02750,turnaround,C,2026-03-14 20:40:00,2026-03-14 23:10:00,348,110,contato,135.0,1
V_M02719_M02755_TURN,V_M02719_M02755,turnaround,C,2026-03-14 20:45:00,2026-03-14 23:35:00,272,125,contato,275.0,1
V_M02720_M02751_TURN,V_M02720_M02751,turnaround,C,2026-03-14 20:50:00,2026-03-14 23:10:00,348,114,contato,155.0,1
